id,nnzA,myErr,umfErr,logratio,myElaps,umfElaps,ratio,mynnz,umfnnz,ratio,myflop,umfflop,ratio
2667,32022,1.61687e-05,6.82207e-14,19.2836,0.182328,0.029197,6.24475,1.19035e+06,173126,6.87562,5.95693e+08,7.67215e+06,77.6435,Fail
1540,32121,0.00010599,1.33739e-13,20.4907,0.085764,0.029488,2.90844,637155,72619,8.77394,2.14596e+08,2.14167e+06,100.2,Fail
2724,32163,5.61195e-05,2.92578e-14,21.3746,0.748375,0.057679,12.9748,2.31405e+06,146575,15.7875,1.67695e+09,5.80814e+06,288.725,Fail
2817,29121,2.69524e-06,4.40011e-14,17.9305,0.0214456,0.013033,1.64548,161010,73020,2.20501,1.22324e+07,3.02324e+06,4.0461,Pass
434,31849,1.0324e-05,2.44206e-13,17.5597,0.0335289,0.020473,1.63771,311494,146857,2.12107,3.56291e+07,7.66419e+06,4.64878,Fail
1187,32300,3.03771e-07,2.22045e-16,21.0367,0.0516162,0.032426,1.59182,253228,155958,1.62369,1.53059e+07,6.55133e+06,2.33631,Pass
384,29450,4.82541e-06,4.52291e-15,20.788,0.019293,0.013006,1.48339,167395,66552,2.51525,1.40031e+07,2.40944e+06,5.81178,Pass
468,286,9.03038e-15,6.52148e-17,4.93066,0.000657596,0.000792,0.830298,715,402,1.77861,3411,730,4.6726,Pass
157,31184,9.06266e-06,3.42851e-14,19.3927,0.0246806,0.02421,1.01944,86585,59260,1.4611,1.50771e+06,608747,2.47675,Pass
156,31425,1.0885e-05,3.42323e-14,19.5775,0.0253084,0.024833,1.01914,84550,58578,1.44337,1.42738e+06,573723,2.48792,Fail
2725,33627,6.42038e-05,1.269e-14,22.3445,1.02323,0.047927,21.3498,3.26922e+06,148330,22.0402,2.94924e+09,5.58516e+06,528.048,Fail
1545,34537,0.000159319,3.85715e-14,22.1417,0.0964572,0.027406,3.51957,687877,69382,9.91434,1.90656e+08,1.31441e+06,145.05,Fail
2350,32299,1.21693e-05,2.06486e-13,17.8919,0.0249547,0.02448,1.01939,71355,47881,1.49026,936929,284251,3.29613,Fail
