id	myErr	umfErr	ratio	myElaps	umfElaps	ratio	mynnz	umfnnz	ratio	myflop	umfflop	ratio
322	4.80214e-10	5.55112e-17	8.65076e+06	0.335504	0.0074	45.3384	30040	19996	1.5023	57677	27493	2.09788	Pass
244	9.31323e-10	4.8847e-16	1.90661e+06	1.61984	0.04018	40.3145	378836	187091	2.02488	4.6637e+07	1.47018e+07	3.1722	Pass
810	8.49052e-12	2.5386e-16	33445.7	0.992133	0.036715	27.0226	190584	100845	1.88987	9.6206e+06	3.33929e+06	2.88103	Pass
336	2.59574e-10	2.77963e-12	93.3846	2.02331	0.068139	29.6939	416918	281526	1.48092	4.07979e+07	1.98555e+07	2.05474	Pass
2696	1.44553e-06	1.55133e-14	9.318e+07	2.8921	0.053913	53.6439	577934	81900	7.05658	1.86258e+08	1.88115e+06	99.0128	Pass
246	1.29875e-12	9.93863e-16	1306.77	1.2884	0.019787	65.1135	218681	126962	1.72241	2.00066e+07	8.55386e+06	2.33889	Pass
200	9.27229e-12	2.02382e-12	4.58159	1.00711	0.08547	11.7833	220461	403334	0.546597	1.52809e+07	4.00018e+07	0.382004	Pass
828	1.21865e-14	2.39557e-16	50.8709	0.88533	0.018862	46.9372	177009	117817	1.50241	7.63797e+06	3.77687e+06	2.0223	Pass
371	1.70299e-16	1.24977e-17	13.6264	4.82504	0.010156	475.092	484437	30597	15.8328	1.59377e+08	254940	625.153	Pass
460	1.54711e-14	1.88833e-14	0.8193	0.437252	0.007397	59.1121	35612	24690	1.44237	462377	258551	1.78834	Pass
823	5.83207e-12	1.05454e-14	553.046	0.70146	0.02178	32.2066	150336	101727	1.47784	1.08532e+07	5.11615e+06	2.12136	Pass
1538	5.55171e-10	3.62655e-14	15308.5	2.17267	0.023355	93.028	423323	96834	4.37164	1.13391e+08	6.55167e+06	17.3072	Pass
22	1.33892e-11	4.48808e-14	298.329	0.533903	0.026749	19.9597	80910	52912	1.52914	1.20785e+06	553219	2.18332	Pass
65	1.32744e-09	1.55976e-14	85105.2	0.316151	0.00652	48.4894	54271	46350	1.1709	1.34169e+06	1.07458e+06	1.24857	Pass
1200	1.05323e-12	4.62775e-14	22.7589	0.480755	0.026074	18.4381	93901	64545	1.45481	1.25026e+06	545349	2.29258	Pass
241	1.39854e-07	7.01776e-16	1.99286e+08	2.59481	0.047648	54.4578	595904	294830	2.02118	8.10017e+07	2.83948e+07	2.8527	Pass
1539	1.08067e-10	4.65044e-13	232.381	1.3396	0.040784	32.8461	255803	51573	4.96002	3.50722e+07	1.60514e+06	21.85	Pass
419	9.93203e-13	3.55098e-15	279.698	0.36607	0.006043	60.5775	67630	40538	1.66831	2.38938e+06	963699	2.47939	Pass
250	3.11227e-14	5.51052e-14	0.564786	0.507744	0.036529	13.8998	87867	83265	1.05527	2.59313e+06	3.19091e+06	0.81266	Pass
243	1.2006e-05	1.74129e-14	6.89488e+08	1.32141	0.022379	59.0469	311603	129068	2.41425	6.18854e+07	1.56932e+07	3.94346	Fail
755	7.06679e-13	5.40193e-15	130.82	0.518199	0.028478	18.1965	87664	58655	1.49457	1.58217e+06	502871	3.14628	Pass
2412	5.75557e-11	4.93179e-12	11.6704	1.04521	0.040886	25.5641	236254	160645	1.47066	1.06091e+07	5.01524e+06	2.11537	Pass
2746	3.7842e-11	4.16315e-15	9089.76	1.165	0.037018	31.4712	240447	143205	1.67904	2.10851e+07	8.28901e+06	2.54374	Pass
837	1.6789e-13	3.747e-15	44.8064	0.425693	0.017635	24.1391	69762	50325	1.38623	626747	352562	1.77769	Pass
426	4.76399e-16	2.4693e-16	1.92929	0.865901	0.017107	50.6168	188514	127970	1.47311	1.07086e+07	4.82496e+06	2.21941	Pass
540	1.41465e-15	2.8228e-17	50.115	0.329085	0.010159	32.3934	33181	23794	1.39451	108008	47963	2.2519	Pass
201	7.34471e-11	7.50136e-13	97.9117	1.17318	0.090906	12.9054	266026	442905	0.600639	1.92865e+07	4.54819e+07	0.424048	Pass
2731	4.38451e-10	8.7183e-15	50290.8	6.01709	0.039164	153.638	1.42387e+06	97544	14.5972	9.75372e+08	3.91295e+06	249.268	Pass
344	1.46577e-12	2.48952e-12	0.588775	0.527461	0.012669	41.634	132432	90180	1.46853	1.76538e+07	8.95001e+06	1.97249	Pass
2747	1.13773e-11	1.39796e-14	813.847	1.21066	0.038536	31.4163	252056	151101	1.66813	2.27982e+07	9.20266e+06	2.47735	Pass
213	83	6.89802e-16	1.20324e+17	0.567748	0.010905	52.0631	68038	74126	0.91787	3.34708e+06	5.7998e+06	0.577104	Fail
2411	3.87373e-11	3.29292e-13	117.638	0.959349	0.031377	30.5749	234556	164351	1.42717	1.0683e+07	5.15342e+06	2.073	Pass
2677	9.82903e-07	8.70092e-15	1.12965e+08	2.33588	0.061427	38.0268	343726	107661	3.19267	3.96442e+07	3.7722e+06	10.5096	Pass
422	6.9514e-14	1.60714e-14	4.32533	0.536991	0.008311	64.6121	114447	62425	1.83335	6.97349e+06	2.55382e+06	2.73061	Pass
120	1.26623e-12	1.14653e-14	110.44	0.878035	0.087825	9.99755	173385	152764	1.13499	9.21411e+06	8.36598e+06	1.10138	Pass
2230	7.1769e-12	4.10207e-15	1749.58	6.18711	0.077173	80.172	1.41212e+06	521414	2.70826	9.11251e+08	1.51454e+07	60.1667	Pass
900	7.51657e-12	3.76386e-14	199.704	16.2151	0.065093	249.106	2.03247e+06	154123	13.1873	1.24788e+09	1.20228e+07	103.792	Pass
