id	myErr	matlabErr	ratio	myElaps	matlabElaps	ratio	mynnz	matlabnnz	ratio	myflop	matlabflop	ratio
1551	1.4612e-10	8.19367e-14	1783.33	24.1305	0.061681	391.215	5.18338e+06	71449	72.5466	6.76883e+09	686071	9866.07	Pass
438	0.0207381	4.75825e-16	4.35835e+13	1.65751	0.026941	61.5237	348287	114942	3.03011	4.53712e+07	4.99997e+06	9.07428	Fail
2818	1.08776e-09	3.87922e-14	28040.8	1.72334	0.020813	82.8012	402068	144239	2.78751	4.13633e+07	6.35659e+06	6.50716	Pass
1552	3.65664e-08	3.19277e-13	114529	15.0477	0.035053	429.283	2.73605e+06	103039	26.5535	1.35524e+09	2.0266e+06	668.727	Pass
77	9.52503e-10	9.10041e-16	1.04666e+06	0.705066	0.013	54.2358	160600	110274	1.45637	1.04376e+07	5.18735e+06	2.01213	Pass
580	2.81086e-07	1.29758e-12	216623	9.25453	0.355182	26.0557	1.84309e+06	1.4306e+06	1.28833	6.31436e+08	5.69015e+08	1.1097	Pass
454	4.38744e-13	4.62571e-15	94.849	0.970201	0.023627	41.0632	103450	77575	1.33355	1.71084e+06	1.04977e+06	1.62974	Pass
840	5.31241e-13	2.94941e-15	180.118	0.928821	0.017076	54.3934	189599	107509	1.76356	5.57024e+06	1.8833e+06	2.9577	Pass
2425	4.72886e-10	8.26779e-12	57.1962	4.77445	0.107377	44.4643	977793	675643	1.4472	1.03573e+08	5.57875e+07	1.85656	Pass
2424	1.46556e-10	1.34899e-12	108.641	4.06964	0.090762	44.8386	1.0297e+06	679670	1.51501	1.10497e+08	4.87062e+07	2.26865	Pass
465	1.10133e-08	6.67825e-15	1.64913e+06	2.87425	0.011407	251.973	484151	80406	6.02133	9.74895e+07	1.03125e+06	94.5357	Pass
2415	3.49155e-11	3.74145e-13	93.3206	4.06006	0.148921	27.2632	686586	475197	1.44484	6.85874e+07	3.32597e+07	2.06218	Pass
2414	4.68687e-11	8.12237e-13	57.7033	4.39343	0.095263	46.1189	1.1155e+06	602160	1.85249	1.29357e+08	5.12368e+07	2.5247	Pass
1245	9.44741e-11	1.71271e-12	55.1604	9.64828	0.336288	28.6905	2.29702e+06	2.14472e+06	1.07101	5.61261e+08	5.6303e+08	0.996858	Pass
1868	9.75406e-12	4.97042e-16	19624.2	8.35734	0.042567	196.334	2.19039e+06	124484	17.5958	7.32172e+08	3.75447e+06	195.013	Pass
756	3.95561e-11	3.01651e-14	1311.32	2.08228	0.079546	26.177	306728	187328	1.63738	9.61642e+06	3.12071e+06	3.08149	Pass
841	2.51361e-13	2.23378e-15	112.527	1.08784	0.018118	60.0417	243751	128698	1.89398	1.20954e+07	3.62889e+06	3.33307	Pass
2354	7.276e-11	1.00267e-15	72566.3	1.28459	0.040921	31.392	115051	95244	1.20796	907876	648514	1.39993	Pass
1554	8.81573e-09	3.26928e-14	269653	8.65649	0.060071	144.104	1.55982e+06	282066	5.52997	5.73582e+08	2.16448e+07	26.4998	Pass
2850	5.06966e-12	2.96675e-14	170.882	1.11943	0.021538	51.9749	263873	86357	3.05561	6.42989e+07	5.49234e+06	11.707	Pass
919	2.98284e-08	1.86179e-13	160213	6.74848	0.180429	37.4024	1.26247e+06	916610	1.37732	1.08596e+08	6.87841e+07	1.57879	Pass
453	4.20213e-15	8.41e-15	0.499659	2.15966	0.059805	36.1117	298622	211803	1.4099	6.31054e+06	4.36599e+06	1.44539	Pass
1191	0	8.8227e-18	0	2.50585	0.584622	4.28627	52145	66229	0.787344	73202	94353	0.775831	Pass
1553	6.62977e-11	2.81029e-14	2359.1	6.21915	0.069909	88.9606	1.36492e+06	154535	8.83242	3.49963e+08	4.26519e+06	82.0508	Pass
1549	9.51894e-12	3.06366e-13	31.0705	23.9794	0.026119	918.082	5.76986e+06	79210	72.8426	8.1274e+09	1.19893e+06	6778.87	Pass
1555	6.91221e-10	5.9426e-14	11631.6	12.45	0.074548	167.007	2.61004e+06	159337	16.3806	1.02153e+09	9.01343e+06	113.334	Pass
377	9.90944e-15	2.69303e-16	36.7967	1.38339	0.037368	37.0206	328830	293958	1.11863	1.82575e+07	1.68765e+07	1.08183	Pass
412	2.35855e-06	1.4521e-13	1.62424e+07	4.16066	0.052161	79.7657	932139	564699	1.65068	1.73908e+08	5.96292e+07	2.91649	Pass
1432	0.000299069	3.98751e-16	7.50014e+11	3.89826	0.056312	69.2261	1.01122e+06	580843	1.74094	9.6904e+07	3.82861e+07	2.53105	Fail
1212	4.48699e-11	7.11143e-17	630955	1.25906	0.033217	37.9042	93733	78072	1.2006	366574	209231	1.75201	Pass
433	5.73239e-14	2.94504e-16	194.646	1.46086	0.04344	33.6294	282764	192581	1.46829	2.76402e+07	1.34297e+07	2.05814	Pass
1622	1.62073e-12	4.33268e-15	374.07	0.750695	0.032757	22.9171	136012	226838	0.5996	2.60511e+06	9.50776e+06	0.273999	Pass
417	6.46162e-12	8.42747e-14	76.6732	2.10209	0.039857	52.7408	487367	266593	1.82813	5.4857e+07	1.8063e+07	3.03697	Pass
2430	2.04846e-12	2.23952e-14	91.4687	3.16419	0.111127	28.4736	348681	283041	1.23191	1.74654e+07	1.20008e+07	1.45535	Pass
2197	1.13915e-10	7.9554e-13	143.192	22.4294	1.11204	20.1696	5.43444e+06	4.65627e+06	1.16712	7.65153e+09	5.53172e+09	1.38321	Pass
414	9.37718e-05	4.83001e-15	1.94144e+10	2.5677	0.046504	55.2146	565453	347375	1.62779	4.79245e+07	1.8038e+07	2.65687	Fail
2279	3.97686e-14	2.08167e-17	1910.42	7.01194	0.011987	584.962	660292	73430	8.99213	1.77579e+06	28350	62.6382	Pass
1242	0.0944951	3.4574e-13	2.73312e+11	34.3953	1.42575	24.1244	8.48692e+06	8.49294e+06	0.999291	6.37826e+09	8.29119e+09	0.769281	Fail
1556	3.00623e-10	3.73016e-13	805.925	9.49436	0.12399	76.5736	2.21543e+06	313105	7.07569	1.3419e+09	3.8455e+07	34.8954	Pass
2699	0.491654	4.79732e-14	1.02485e+13	64.3647	0.262162	245.515	1.07288e+07	1.05297e+06	10.1891	1.68526e+10	9.7978e+07	172.004	Fail
389	2.06976e-10	2.33249e-14	8873.61	2.33133	0.042679	54.6248	544096	215132	2.52913	6.35695e+07	1.07249e+07	5.92731	Pass
1557	3.25906e-10	4.02237e-14	8102.34	11.2592	0.057305	196.478	2.61111e+06	195342	13.3669	1.31317e+09	5.8421e+06	224.778	Pass
425	3.41694e-10	8.85015e-14	3860.89	1.93476	0.03064	63.145	447099	229694	1.9465	3.80316e+07	1.1709e+07	3.24807	Pass
1550	1.38483e-09	2.11953e-13	6533.67	6.15428	0.051705	119.027	1.42394e+06	221373	6.43233	5.20951e+08	1.4321e+07	36.3767	Pass
410	3.55011e-10	6.02955e-13	588.785	3.99708	0.055639	71.8395	968470	408800	2.36906	1.36936e+08	2.34113e+07	5.84916	Pass
2707	4.80464e-11	7.47985e-14	642.344	63.4938	0.046942	1352.6	1.25928e+07	268536	46.8943	1.86143e+10	6.12326e+06	3039.93	Pass
