id,nnzA,myErr,umfErr,logratio,myElaps,umfElaps,ratio,mynnz,umfnnz,ratio,myflop,umfflop,ratio
1869,381326,2.60165e-11,1.1575e-15,10.0202,6.04325,0.706797,8.55019,4.98038e+07,1.3954e+06,35.6913,5.0165e+10,1.69276e+08,296.351,Pass
746,75204,1.18412e-12,3.02449e-14,3.66743,0.118867,0.097526,1.21882,319898,243800,1.31213,1.76094e+07,9.58989e+06,1.83624,Pass
556,329983,2.1097e-10,3.90794e-11,1.68612,3.07082,2.46106,1.24776,1.28358e+07,1.3216e+07,0.971227,8.77094e+09,1.2757e+10,0.68754,Pass
970,237130,6.38816,1.13697e-13,31.6597,0.560428,0.446125,1.25621,4.97942e+06,2.89126e+06,1.72223,1.12856e+09,4.56941e+08,2.46982,Fail
445,373235,2.28188e-09,3.54149e-10,1.86304,0.573836,0.461227,1.24415,5.81641e+06,3.06918e+06,1.8951,1.93011e+09,4.17118e+08,4.62726,Pass
1573,385911,6.83198e-06,6.23884e-12,13.9063,3.15068,1.43946,2.18879,1.95776e+07,5.06638e+06,3.86421,1.6678e+10,1.24228e+09,13.4253,Pass
766,394808,1.1205e-16,2.08086e-16,-0.619007,0.119979,0.134364,0.89294,463477,444254,1.04327,1.11206e+07,1.01798e+07,1.09242,Pass
771,394812,9.67383e-17,2.34566e-16,-0.885726,0.119393,0.100622,1.18655,463483,444256,1.04328,1.11208e+07,1.01799e+07,1.09243,Pass
772,394816,1.21995e-16,2.06351e-16,-0.525598,0.120205,0.097747,1.22976,463483,444256,1.04328,1.11208e+07,1.01799e+07,1.09243,Pass
773,395506,2.73979e-14,2.06352e-16,4.88863,0.123052,0.096935,1.26943,471003,445214,1.05792,1.14634e+07,1.0223e+07,1.12133,Pass
592,359635,1.87619e-07,1.28764e-11,9.58677,2.21658,7.35439,0.301396,1.73112e+07,3.86936e+07,0.447392,8.21834e+09,6.67545e+10,0.123113,Pass
1389,330004,6.13056e-11,2.36811e-12,3.25378,9.99229,0.601787,16.6044,1.00187e+07,1.90852e+06,5.24943,3.70607e+10,1.19588e+09,30.9903,Pass
774,401448,4.33286e-14,1.96244e-16,5.39721,0.127764,0.102497,1.24651,474743,445436,1.06579,1.16019e+07,1.02594e+07,1.13085,Pass
1220,403450,2.21755e-08,1.90413e-11,7.06013,16.55,6.05655,2.73258,4.62719e+07,1.74585e+07,2.6504,9.99305e+10,2.68618e+10,3.72017,Pass
1575,403181,3.39044e-07,9.52999e-14,15.0846,75.5817,0.545525,138.549,1.02267e+08,713746,143.282,2.42768e+11,2.81054e+07,8637.78,Pass
775,408264,3.86864e-15,1.76766e-16,3.08583,0.137378,0.098412,1.39595,490663,453260,1.08252,1.2405e+07,1.06276e+07,1.16724,Pass
2567,412136,0.010623,0.0607251,-1.74334,0.382962,0.290848,1.31671,1.59407e+06,962024,1.657,2.89397e+07,1.12681e+07,2.56829,Pass
879,419201,1.24567e-09,6.93844e-10,0.585179,4.20462,76.2579,0.0551368,2.9732e+07,1.4905e+08,0.199476,1.9479e+10,2.31678e+11,0.0840779,Pass
1405,187098,1.77492e-13,4.23129e-17,8.34159,0.0438363,0.442952,0.098964,274015,208495,1.31425,9.52698e+06,5.20556e+06,1.83015,Pass
1306,424966,1.12692e-06,3.9214e-11,10.266,9.42431,19.8326,0.475192,5.85426e+07,8.81327e+07,0.664255,8.27219e+10,2.62588e+11,0.315025,Pass
1237,428444,1.14082e-10,3.38624e-11,1.21461,5.06717,3.29357,1.5385,3.89897e+07,1.61012e+07,2.42153,4.34457e+10,1.81142e+10,2.39843,Pass
1851,430740,5.77855e-10,5.86161e-16,13.8012,1.18579,1.23727,0.958388,1.12439e+07,8.0102e+06,1.4037,5.02093e+09,3.41755e+09,1.46916,Pass
2335,430820,6.90219e-07,3.38178e-13,14.5289,0.510156,0.45003,1.1336,4.79366e+06,2.87264e+06,1.66873,1.57326e+09,6.53003e+08,2.40928,Pass
1224,434704,1.39606e-08,5.45966e-13,10.1492,13.9516,1.44008,9.68809,4.08045e+07,5.54101e+06,7.36409,7.24908e+10,3.23369e+09,22.4174,Pass
